DB/TABLE|Send to Lake|PII (Y/N)|CDC Column|LookUp Ref|HardDeleteFlag|PartitionBy|NumPartitions|Rows|Note
PolicyCenterAgg.dbo.pctl_bp7windscertificate_ext|Y||Truncate and Load|TypeList|||||
PolicyCenterAgg.dbo.pctl_bp7windsrmaterial_ext|Y||Truncate and Load|TypeList|||||
PolicyCenterAgg.dbo.pctl_bpcovoccupationtype|Y||Truncate and Load|TypeList|||||
PolicyCenterAgg.dbo.pctl_bpcreason_ext|Y||Truncate and Load|TypeList|||||
PolicyCenterAgg.dbo.pctl_bpcrecord_ext|Y||Truncate and Load|TypeList|||||
PolicyCenterAgg.dbo.pctl_bpcrecordstatus_ext|Y||Truncate and Load|TypeList|||||
PolicyCenterAgg.dbo.pctl_bpcsource_ext|Y||Truncate and Load|TypeList|||||
PolicyCenterAgg.dbo.pctl_bpctargets_ext|Y||Truncate and Load|TypeList|||||
PolicyCenterAgg.dbo.pctl_bpctype_ext|Y||Truncate and Load|TypeList|||||
PolicyCenterAgg.dbo.pctl_breakertype_hoe|Y||Truncate and Load|TypeList|||||
PolicyCenterAgg.dbo.pctl_broadlimited|Y||Truncate and Load|TypeList|||||
PolicyCenterAgg.dbo.pctl_buildersrisk|Y||Truncate and Load|TypeList|||||
PolicyCenterAgg.dbo.pctl_buildingalarmtype|Y||Truncate and Load|TypeList|||||
PolicyCenterAgg.dbo.pctl_buildingimprtype|Y||Truncate and Load|TypeList|||||
PolicyCenterAgg.dbo.pctl_buildinglimitrange|Y||Truncate and Load|TypeList|||||
PolicyCenterAgg.dbo.pctl_buildingrangetx_ext|Y||Truncate and Load|TypeList|||||
PolicyCenterAgg.dbo.pctl_buildingsidetype|Y||Truncate and Load|TypeList|||||
PolicyCenterAgg.dbo.pctl_building|Y||Truncate and Load|TypeList|||||
PolicyCenterAgg.dbo.pctl_burglaralarmtype_hoe|Y||Truncate and Load|TypeList|||||
PolicyCenterAgg.dbo.pctl_burglarysafeguard|Y||Truncate and Load|TypeList|||||
PolicyCenterAgg.dbo.pctl_businessautocond|Y||Truncate and Load|TypeList|||||
PolicyCenterAgg.dbo.pctl_businessautocov|Y||Truncate and Load|TypeList|||||
PolicyCenterAgg.dbo.pctl_businessautoexcl|Y||Truncate and Load|TypeList|||||
PolicyCenterAgg.dbo.pctl_businessclass|Y||Truncate and Load|TypeList|||||
PolicyCenterAgg.dbo.pctl_businessinperupproptype|Y||Truncate and Load|TypeList|||||
PolicyCenterAgg.dbo.pctl_businessinteruplimofins|Y||Truncate and Load|TypeList|||||
PolicyCenterAgg.dbo.pctl_businesslocationtype|Y||Truncate and Load|TypeList|||||
PolicyCenterAgg.dbo.pctl_businessownerscond|Y||Truncate and Load|TypeList|||||
PolicyCenterAgg.dbo.pctl_businessownerscov|Y||Truncate and Load|TypeList|||||
PolicyCenterAgg.dbo.pctl_businessownersexcl|Y||Truncate and Load|TypeList|||||
PolicyCenterAgg.dbo.pctl_businesssubtype_hoe|Y||Truncate and Load|TypeList|||||
PolicyCenterAgg.dbo.pctl_businesstype_hoe|Y||Truncate and Load|TypeList|||||
PolicyCenterAgg.dbo.pctl_businesstypecategory|Y||Truncate and Load|TypeList|||||
PolicyCenterAgg.dbo.pctl_businesstype|Y||Truncate and Load|TypeList|||||
PolicyCenterAgg.dbo.pctl_businessvehiclecov|Y||Truncate and Load|TypeList|||||
PolicyCenterAgg.dbo.pctl_businessvehiclemodifier|Y||Truncate and Load|TypeList|||||
PolicyCenterAgg.dbo.pctl_ca7autodealercond|Y||Truncate and Load|TypeList|||||
PolicyCenterAgg.dbo.pctl_ca7autodealercov|Y||Truncate and Load|TypeList|||||
PolicyCenterAgg.dbo.pctl_ca7autodealerexcl|Y||Truncate and Load|TypeList|||||
PolicyCenterAgg.dbo.pctl_ca7autonumberingkey|Y||Truncate and Load|TypeList|||||
PolicyCenterAgg.dbo.pctl_ca7avgnoofjobsites|Y||Truncate and Load|TypeList|||||
PolicyCenterAgg.dbo.pctl_ca7bodytype|Y||Truncate and Load|TypeList|||||
PolicyCenterAgg.dbo.pctl_ca7businessuseclass|Y||Truncate and Load|TypeList|||||
PolicyCenterAgg.dbo.pctl_ca7commautolinecond|Y||Truncate and Load|TypeList|||||
PolicyCenterAgg.dbo.pctl_ca7commautolinecov|Y||Truncate and Load|TypeList|||||
PolicyCenterAgg.dbo.pctl_ca7commautolineexcl|Y||Truncate and Load|TypeList|||||
PolicyCenterAgg.dbo.pctl_ca7costtype|Y||Truncate and Load|TypeList|||||
PolicyCenterAgg.dbo.pctl_ca7cost|Y||Truncate and Load|TypeList|||||
PolicyCenterAgg.dbo.pctl_ca7coveragetype_ext|Y||Truncate and Load|TypeList|||||
PolicyCenterAgg.dbo.pctl_ca7disabilitybenefits|Y||Truncate and Load|TypeList|||||
PolicyCenterAgg.dbo.pctl_ca7driverstatus_ext|Y||Truncate and Load|TypeList|||||
PolicyCenterAgg.dbo.pctl_ca7exposuretype_ext|Y||Truncate and Load|TypeList|||||
PolicyCenterAgg.dbo.pctl_ca7fleetty|Y||Truncate and Load|TypeList|||||
PolicyCenterAgg.dbo.pctl_ca7garagedealersbuildings|Y||Truncate and Load|TypeList|||||
PolicyCenterAgg.dbo.pctl_ca7garagedealersclass|Y||Truncate and Load|TypeList|||||
PolicyCenterAgg.dbo.pctl_ca7garagedealerscoveraget|Y||Truncate and Load|TypeList|||||
PolicyCenterAgg.dbo.pctl_ca7garagedealersphysicald|Y||Truncate and Load|TypeList|||||
PolicyCenterAgg.dbo.pctl_ca7garagekeepersratingbas|Y||Truncate and Load|TypeList|||||
PolicyCenterAgg.dbo.pctl_ca7garageservicecond|Y||Truncate and Load|TypeList|||||
PolicyCenterAgg.dbo.pctl_ca7garageservicecov|Y||Truncate and Load|TypeList|||||
PolicyCenterAgg.dbo.pctl_ca7garageserviceexcl|Y||Truncate and Load|TypeList|||||
PolicyCenterAgg.dbo.pctl_ca7grgsrvsscheditem|Y||Truncate and Load|TypeList|||||
PolicyCenterAgg.dbo.pctl_ca7hiredautocostofhire|Y||Truncate and Load|TypeList|||||
PolicyCenterAgg.dbo.pctl_ca7jurisdictioncosttype|Y||Truncate and Load|TypeList|||||
PolicyCenterAgg.dbo.pctl_ca7legalentity|Y||Truncate and Load|TypeList|||||
PolicyCenterAgg.dbo.pctl_ca7linemod|Y||Truncate and Load|TypeList|||||
PolicyCenterAgg.dbo.pctl_ca7lineschedconditem|Y||Truncate and Load|TypeList|||||
PolicyCenterAgg.dbo.pctl_ca7lineschedcovitemcov|Y||Truncate and Load|TypeList|||||
PolicyCenterAgg.dbo.pctl_ca7lineschedcovitem|Y||Truncate and Load|TypeList|||||
PolicyCenterAgg.dbo.pctl_ca7modeltype_ext|Y||Truncate and Load|TypeList|||||
PolicyCenterAgg.dbo.pctl_ca7mvrviolationtype_ext|Y||Truncate and Load|TypeList|||||
PolicyCenterAgg.dbo.pctl_ca7namedindividualcond|Y||Truncate and Load|TypeList|||||
PolicyCenterAgg.dbo.pctl_ca7namedindividualcov|Y||Truncate and Load|TypeList|||||
PolicyCenterAgg.dbo.pctl_ca7namedindividualexcl|Y||Truncate and Load|TypeList|||||
PolicyCenterAgg.dbo.pctl_ca7numberofdaysadvance|Y||Truncate and Load|TypeList|||||
PolicyCenterAgg.dbo.pctl_ca7policyminprem_ext|Y||Truncate and Load|TypeList|||||
PolicyCenterAgg.dbo.pctl_ca7policytype|Y||Truncate and Load|TypeList|||||
PolicyCenterAgg.dbo.pctl_ca7privatepassengercond|Y||Truncate and Load|TypeList|||||
PolicyCenterAgg.dbo.pctl_ca7privatepassengercov|Y||Truncate and Load|TypeList|||||
PolicyCenterAgg.dbo.pctl_ca7privatepassengerexcl|Y||Truncate and Load|TypeList|||||
PolicyCenterAgg.dbo.pctl_ca7privatepassengerfleet|Y||Truncate and Load|TypeList|||||
PolicyCenterAgg.dbo.pctl_ca7privatepassengeroperat|Y||Truncate and Load|TypeList|||||
PolicyCenterAgg.dbo.pctl_ca7privatepassengertype|Y||Truncate and Load|TypeList|||||
PolicyCenterAgg.dbo.pctl_ca7privatepassengeruse|Y||Truncate and Load|TypeList|||||
PolicyCenterAgg.dbo.pctl_ca7privatepassscheditem|Y||Truncate and Load|TypeList|||||
PolicyCenterAgg.dbo.pctl_ca7publictransportationfl|Y||Truncate and Load|TypeList|||||
PolicyCenterAgg.dbo.pctl_ca7publictransportationra|Y||Truncate and Load|TypeList|||||
PolicyCenterAgg.dbo.pctl_ca7publictransportationty|Y||Truncate and Load|TypeList|||||
PolicyCenterAgg.dbo.pctl_ca7publictransportcond|Y||Truncate and Load|TypeList|||||
PolicyCenterAgg.dbo.pctl_ca7publictransportcov|Y||Truncate and Load|TypeList|||||
PolicyCenterAgg.dbo.pctl_ca7publictransportexcl|Y||Truncate and Load|TypeList|||||
PolicyCenterAgg.dbo.pctl_ca7publictransscheditem|Y||Truncate and Load|TypeList|||||
PolicyCenterAgg.dbo.pctl_ca7radiusclass|Y||Truncate and Load|TypeList|||||
PolicyCenterAgg.dbo.pctl_ca7registrykey|Y||Truncate and Load|TypeList|||||
PolicyCenterAgg.dbo.pctl_ca7risktype|Y||Truncate and Load|TypeList|||||
PolicyCenterAgg.dbo.pctl_ca7seatingcapacity|Y||Truncate and Load|TypeList|||||
